filename,question_1a_health_policy,question_1a_confidence,question_1a_explanation,question_1b_ghpl_categories,question_1b_confidence,question_1b_explanation,metadata_extracted,title,doc_type,health_topic,creator,year,country,language,governance_level,overall_confidence,metadata_completeness,processing_time_seconds,processed,error_message
Acep-cruise-ship-health-care-guideliness-final-october-2023.pdf,True,0.95,This document is published by the American College of Emergency Physicians (a professional medical society) and is presented as a Policy Resource and Education Paper (PREP) with formal revision and Board of Directors review dates. Professional medical societies that set standards are considered authoritative health sources.,True,0.95,"The document is titled and structured as 'Cruise Ship Health Care Guidelines' and provides formal advisory statements and operational recommendations for clinical and public-health practice aboard ships (facility, staffing, clinical practice, pharmacy, infection control, contingency planning). This matches the GUIDELINE category rather than law, national strategy, or action plan.",True,Cruise Ship Health Care Guidelines,Health Guideline,,Association,2023,,English,,0.851,0.625,21.82,True,
M21-1III_iv_4_SecE.pdf,True,0.95,"This is an authoritative U.S. government administrative/medical guidance document (VA M21-1 style language, multiple citations to 38 CFR and M21-1) concerning evaluation of cardiovascular conditions and cold injury residuals for VA disability purposes. It comes from an official health-related government source (Department of Veterans Affairs) and sets official criteria for medical documentation and examinations.",True,0.88,"This document functions as official guidance/clinical-evaluation guidance used to direct medical examinations and adjudication of health-related disability claims. It is best classified as a GUIDELINE (formal advisory/operational guidance for clinical/medical evaluation), not a law or a national strategy/control plan.",True,Section E. Cardiovascular System Conditions,Policy,Cardiovascular Health,Agency,2015,United States,English,National,0.885,1.0,24.97,True,
Cdc_24147_DS1.pdf,True,0.95,This document is produced by and uses CDC/Department of Health & Human Services letterhead and is authored/issued by the CDC Office of Public Health Genomics (government public health authority). It summarizes a CDC-hosted conference on public health genomics and is clearly from an authoritative health source.,False,0.95,"The file is a conference report/meeting proceedings ('Conference Report' on the cover, meeting summaries, speaker presentations and appendices). It does not present a formal policy, law, national strategy/control plan, action plan, or systematically developed clinical/public health guideline with implementation timelines or binding authority, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,7.73,True,
Delta-8-THC-FAQ.pdf,False,0.95,"The document is published by the Public Health Law Center at Mitchell Hamline School of Law (an academic/legal NGO) as a fact sheet/FAQ. It is not a government agency, national public health institute, WHO/UN body, or a professional medical society issuing official standards, so it does not meet the criteria for an authoritative health source.",False,0.95,"This is an informational FAQ/fact sheet about Delta-8 THC (public education). It does not contain a formal policy, law, national strategy, national control plan, implementation action plan, or an evidence-based clinical/public health guideline, so it does not fit any of the six GHPL document categories.",False,,,,,,,,,,,8.47,True,
CovidConnect Final Slides.pdf,False,0.8,"This appears to be a slide deck describing a COVID-19 mobile tool (COVIDConnect) and user flows (self-screening, results delivery, contact alerts). There is no clear government/WHO/public health institute letterhead, ministerial endorsement, or other markers of an authoritative health agency; it reads as demonstration/training/communication material rather than an official document.",False,0.9,"The content is a presentation/demo describing a digital tool and user journeys (screenshots, instructions, demonstrations). It does not contain policy, law, a national strategy, a control plan, an implementation/action plan with responsibilities/timelines, or formally developed clinical/public health guidelines — therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,7.89,True,
SAGme_Report_CEQ_on_malaria_elimination_final_2019-eng.pdf,True,0.95,"This is a World Health Organization publication (Global Malaria Programme) titled 'Malaria eradication: benefits, future scenarios & feasibility' and carries WHO ISBN, logo and contact details. It is authored by the WHO Strategic Advisory Group on Malaria Eradication, an authoritative health body, so it is from an authoritative health source.",False,0.9,"The document is an advisory/report from a WHO expert group containing analysis, scenarios and recommendations. It is not a formal WHO policy, binding law, national health strategy, national control plan, operational action plan, or an evidence-based clinical/public health guideline. The front matter explicitly states it contains collective views of the advisory group and does not necessarily represent WHO policy, so it does not meet any of the six GHPL categories.",False,,,,,,,,,,,9.804575204849243,True,
Instructions to take the Antibiotic Guardian Pledge.pdf,True,0.9,"The document is a public-facing campaign/pledge produced in collaboration with authoritative health organisations (logos present for the South African Department of Health and Public Health England, plus national professional bodies). It originates from official public health actors rather than a commercial or purely academic source.",False,0.9,"This is an educational/campaign brochure with instructions for taking an Antibiotic Guardian pledge. It does not set policy goals, legal requirements, a national strategy, control plan, implementation action plan, or provide evidence-based clinical/public-health guidelines, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,10.332165479660034,True,
HCM_in_donor_heart_resubmission.pdf,False,0.95,"This document is a clinical case report / post-mortem autopsy report describing a single patient (donor heart with hypertrophic cardiomyopathy). It contains clinical/pathologic findings, figures, and literature citations and is not issued by a government agency, WHO/UN body, national public health institute, or an official professional body that sets policy.",False,0.95,"The document is a research/case report rather than a formal policy, law, national strategy, control plan, action plan, or guideline. It lacks objectives, implementation timelines, legal authority, stakeholder roles, or systematic evidence-review and actionable recommendations typical of the six GHPL categories.",False,,,,,,,,,,,5.377473592758179,True,
2016_consumers_guide_to_radon_reduction.pdf,True,0.95,"This is an EPA (U.S. Environmental Protection Agency) publication (EPA logo and reference number present) providing official public-health guidance on radon; EPA is a national government authority, so the document is from an authoritative health/public‑health source.",False,0.9,"This is a consumer brochure/guide for homeowners (education and practical advice on testing and mitigation). It is not a formal policy, law, national strategy, national control plan, action plan, nor a systematically developed clinical/public‑health guideline as defined by GHPL—therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,12.768280744552612,True,
Guidelines-adult-adolescent-arv.pdf,True,0.95,"This document is produced by the U.S. Department of Health and Human Services (HHS) Panel on Antiretroviral Guidelines for Adults and Adolescents, a working group of the NIH Office of AIDS Research Advisory Council (OARAC). It bears official attribution to HHS/NIH and is an authoritative government health source.",True,0.95,"The document is a clinical practice guideline titled 'Guidelines for the Use of Antiretroviral Agents in Adults and Adolescents With HIV'—an evidence-based advisory intended to guide clinical care and public health practice, matching the GUIDELINE category.",True,Guidelines for the Use of Antiretroviral Agents in Adults and Adolescents with HIV,Health Guideline,,Agency,2024,United States,English,,0.925,0.875,23.69371509552002,True,
